iter	Passed	Remaining
0	1	130
1	2	136
2	4	144
3	5	126
4	6	126
5	8	129
6	9	129
7	11	128
8	12	126
9	13	122
10	14	120
11	16	119
12	17	118
13	19	118
14	20	117
15	22	115
16	23	115
17	24	111
18	25	110
19	27	109
20	28	108
21	30	107
22	31	106
23	33	105
24	34	103
25	35	101
26	36	99
27	38	97
28	39	95
29	40	94
30	42	93
31	43	92
32	45	91
33	46	90
34	47	88
35	49	87
36	50	86
37	51	84
38	53	83
39	54	82
40	56	80
41	57	78
42	58	77
43	59	76
44	61	74
45	62	73
46	63	71
47	65	70
48	66	69
49	68	68
50	69	66
51	70	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	45
66	90	44
67	91	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	133	0
