iter	Passed	Remaining
0	113	113210
1	114	57185
2	115	38467
3	116	29084
4	118	23644
5	120	19948
6	121	17247
7	122	15224
8	124	13662
9	124	12372
10	125	11313
11	126	10438
12	127	9684
13	128	9059
14	129	8505
15	136	8366
16	137	7947
17	138	7558
18	139	7200
19	140	6882
20	141	6593
21	142	6328
22	143	6096
23	144	5871
24	145	5689
25	147	5512
26	148	5349
27	149	5181
28	149	5020
29	150	4879
30	151	4743
31	152	4619
32	153	4496
33	154	4386
34	155	4280
35	156	4182
36	157	4092
37	158	4004
38	159	3923
39	160	3857
40	162	3796
41	163	3723
42	164	3655
43	165	3592
44	166	3527
45	167	3465
46	167	3405
47	168	3350
48	169	3298
49	170	3245
50	171	3198
51	173	3154
52	174	3110
53	175	3074
54	176	3038
55	177	2999
56	178	2959
57	179	2922
58	181	2887
59	181	2850
60	182	2815
61	183	2782
62	184	2750
63	185	2719
64	186	2688
65	187	2657
66	189	2636
67	190	2614
68	191	2589
69	192	2563
70	193	2534
71	194	2509
72	195	2485
73	196	2461
74	197	2436
75	198	2413
76	199	2390
77	200	2366
78	201	2343
79	202	2323
80	203	2307
81	204	2294
82	205	2270
83	206	2252
84	207	2234
85	208	2217
86	209	2199
87	210	2181
88	211	2163
89	212	2146
90	213	2128
91	214	2113
92	215	2097
93	216	2084
94	217	2069
95	218	2056
96	219	2045
97	220	2032
98	221	2018
99	222	2005
100	223	1993
101	224	1978
102	225	1964
103	226	1951
104	227	1938
105	228	1926
106	229	1913
107	230	1900
108	230	1888
109	231	1875
110	232	1864
111	234	1857
112	235	1848
113	236	1838
114	237	1828
115	238	1817
116	239	1805
117	240	1795
118	241	1785
119	242	1775
120	243	1765
121	243	1754
122	244	1745
123	245	1735
124	246	1726
125	247	1719
126	248	1711
127	249	1702
128	250	1692
129	251	1685
130	253	1678
131	254	1670
132	254	1661
133	255	1653
134	256	1645
135	257	1636
136	258	1628
137	259	1621
138	260	1613
139	261	1605
140	262	1600
141	263	1594
142	265	1588
143	266	1581
144	267	1574
145	267	1567
146	268	1560
147	269	1553
148	270	1546
149	271	1540
150	272	1533
151	273	1528
152	274	1521
153	275	1513
154	276	1508
155	277	1503
156	279	1501
157	280	1495
158	281	1489
159	282	1483
160	283	1475
161	284	1469
162	285	1463
163	286	1458
164	287	1452
165	287	1446
166	288	1440
167	289	1434
168	290	1429
169	291	1424
170	293	1422
171	294	1419
172	296	1415
173	297	1410
174	297	1404
175	298	1399
176	299	1394
177	300	1389
178	301	1384
179	302	1378
180	303	1373
181	304	1368
182	305	1364
183	306	1359
184	308	1358
185	309	1355
186	310	1350
187	311	1346
188	312	1342
189	313	1337
190	314	1333
191	315	1327
192	316	1323
193	317	1318
194	318	1314
195	319	1309
196	320	1305
197	321	1301
198	322	1299
199	324	1296
200	325	1291
201	325	1287
202	326	1282
203	327	1279
204	328	1274
205	329	1271
206	330	1267
207	331	1263
208	332	1258
209	333	1254
210	334	1250
211	335	1246
212	336	1243
213	337	1240
214	338	1236
215	339	1233
216	340	1229
217	341	1225
218	342	1221
219	343	1218
220	344	1214
221	345	1210
222	346	1206
223	347	1203
224	348	1200
225	349	1196
226	350	1192
227	351	1189
228	352	1188
229	354	1185
230	355	1182
231	356	1178
232	356	1174
233	357	1171
234	358	1168
235	359	1164
236	360	1161
237	361	1158
238	362	1155
239	363	1151
240	364	1149
241	366	1146
242	367	1145
243	368	1142
244	369	1139
245	370	1136
246	371	1133
247	372	1130
248	373	1127
249	374	1124
250	375	1120
251	376	1117
252	377	1114
253	378	1110
254	379	1107
255	380	1104
256	381	1103
257	382	1101
258	383	1098
259	384	1095
260	385	1092
261	386	1089
262	387	1086
263	388	1083
264	389	1080
265	390	1077
266	391	1074
267	392	1071
268	393	1068
269	393	1065
270	394	1062
271	396	1060
272	397	1058
273	398	1056
274	399	1053
275	400	1050
276	401	1048
277	402	1045
278	403	1042
279	404	1040
280	405	1038
281	406	1035
282	407	1032
283	408	1029
284	409	1027
285	411	1026
286	412	1025
287	413	1023
288	414	1020
289	415	1018
290	416	1015
291	417	1013
292	418	1010
293	419	1008
294	420	1006
295	421	1003
296	423	1001
297	423	998
298	427	1001
299	428	998
300	429	996
301	430	993
302	430	991
303	431	988
304	432	985
305	433	983
306	434	980
307	435	978
308	436	975
309	436	972
310	437	969
311	438	967
312	439	964
313	442	967
314	443	965
315	444	962
316	445	960
317	446	957
318	447	955
319	448	952
320	449	950
321	450	948
322	451	946
323	452	944
324	453	941
325	454	939
326	456	939
327	457	937
328	458	934
329	459	932
330	460	929
331	460	927
332	461	924
333	462	922
334	463	919
335	464	917
336	464	914
337	465	912
338	466	909
339	467	907
340	468	904
341	468	902
342	470	900
343	471	898
344	472	896
345	473	894
346	474	892
347	474	889
348	475	887
349	476	885
350	477	882
351	478	880
352	478	877
353	479	875
354	480	873
355	481	871
356	482	868
357	483	866
358	484	864
359	485	863
360	487	862
361	487	860
362	488	857
363	489	855
364	490	853
365	491	851
366	492	849
367	493	847
368	494	845
369	495	842
370	495	840
371	496	838
372	497	836
373	498	834
374	499	832
375	501	831
376	502	829
377	503	827
378	503	825
379	504	823
380	505	821
381	506	819
382	507	816
383	507	814
384	508	812
385	509	810
386	510	808
387	511	806
388	511	804
389	512	802
390	514	801
391	516	800
392	517	799
393	518	797
394	519	795
395	520	793
396	521	792
397	523	791
398	524	789
399	525	787
400	526	785
401	527	783
402	528	782
403	529	780
404	530	779
405	531	777
406	532	776
407	533	774
408	534	772
409	535	770
410	536	768
411	537	766
412	538	765
413	539	763
414	540	761
415	541	760
416	542	758
417	543	757
418	544	755
419	546	754
420	547	752
421	547	750
422	548	748
423	549	746
424	550	744
425	551	743
426	552	741
427	553	739
428	554	737
429	554	735
430	555	733
431	556	732
432	557	730
433	558	728
434	559	726
435	560	725
436	562	724
437	563	722
438	563	720
439	564	718
440	565	716
441	566	715
442	567	713
443	568	711
444	569	710
445	570	708
446	571	706
447	571	704
448	572	702
449	573	700
450	574	699
451	576	698
452	577	696
453	578	695
454	579	693
455	580	692
456	581	690
457	582	689
458	583	687
459	584	685
460	585	684
461	585	682
462	586	680
463	587	678
464	588	677
465	589	676
466	591	675
467	592	673
468	593	672
469	594	670
470	595	668
471	596	667
472	597	665
473	598	663
474	598	661
475	599	660
476	600	658
477	601	656
478	602	655
479	603	653
480	604	652
481	606	651
482	607	649
483	608	648
484	609	646
485	609	645
486	610	643
487	612	642
488	613	640
489	614	639
490	615	637
491	615	635
492	616	634
493	617	632
494	619	631
495	620	630
496	621	629
497	622	627
498	623	626
499	624	624
500	625	623
501	626	621
502	627	619
503	628	618
504	629	616
505	629	614
506	630	613
507	631	611
508	632	610
509	634	609
510	635	608
511	636	606
512	637	605
513	638	603
514	639	602
515	640	601
516	642	599
517	643	598
518	644	596
519	645	595
520	645	593
521	646	592
522	648	591
523	650	590
524	651	589
525	652	587
526	653	586
527	654	585
528	655	583
529	656	582
530	657	580
531	658	579
532	659	577
533	660	576
534	661	574
535	661	573
536	662	571
537	664	570
538	665	569
539	666	567
540	667	566
541	668	565
542	669	563
543	670	562
544	671	560
545	672	558
546	673	557
547	674	556
548	675	554
549	675	553
550	676	551
551	678	550
552	679	549
553	680	547
554	681	546
555	682	544
556	683	543
557	683	541
558	684	540
559	685	538
560	686	537
561	687	535
562	688	534
563	689	532
564	690	531
565	690	529
566	691	528
567	693	527
568	694	525
569	694	524
570	696	523
571	697	521
572	698	520
573	699	518
574	700	517
575	700	516
576	701	514
577	702	513
578	703	511
579	704	510
580	705	508
581	706	507
582	707	506
583	708	504
584	709	503
585	710	502
586	711	500
587	712	499
588	713	497
589	714	496
590	715	494
591	716	493
592	717	492
593	717	490
594	718	489
595	719	487
596	720	486
597	721	485
598	722	483
599	723	482
600	724	481
601	725	479
602	726	478
603	727	477
604	728	475
605	729	474
606	730	472
607	731	471
608	732	470
609	733	468
610	734	467
611	734	465
612	735	464
613	736	463
614	738	462
615	739	460
616	740	459
617	741	458
618	741	456
619	742	455
620	743	453
621	744	452
622	745	451
623	746	449
624	747	448
625	748	447
626	749	445
627	750	444
628	751	442
629	751	441
630	753	440
631	753	439
632	754	437
633	755	436
634	756	434
635	757	433
636	758	432
637	759	430
638	760	429
639	761	428
640	762	426
641	763	425
642	763	424
643	764	422
644	765	421
645	766	420
646	767	418
647	768	417
648	769	416
649	770	415
650	771	413
651	772	412
652	773	411
653	774	409
654	775	408
655	776	407
656	777	405
657	778	404
658	779	403
659	780	401
660	781	400
661	781	399
662	783	398
663	783	396
664	784	395
665	785	394
666	786	392
667	787	391
668	788	389
669	789	388
670	789	387
671	790	385
672	791	384
673	792	383
674	793	382
675	794	380
676	795	379
677	796	378
678	797	377
679	798	375
680	799	374
681	800	373
682	801	372
683	802	370
684	803	369
685	804	368
686	805	366
687	806	365
688	807	364
689	808	363
690	809	361
691	810	360
692	811	359
693	812	358
694	813	357
695	814	355
696	815	354
697	816	353
698	817	351
699	818	350
700	819	349
701	820	348
702	821	346
703	821	345
704	822	344
705	823	343
706	824	341
707	825	340
708	826	339
709	827	338
710	828	336
711	829	335
712	830	334
713	831	333
714	832	331
715	833	330
716	834	329
717	835	327
718	835	326
719	836	325
720	837	324
721	838	322
722	839	321
723	840	320
724	841	319
725	842	317
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	849	309
733	849	307
734	850	306
735	851	305
736	852	304
737	853	303
738	854	301
739	855	300
740	856	299
741	857	298
742	858	297
743	859	295
744	860	294
745	861	293
746	862	292
747	863	291
748	865	289
749	866	288
750	867	287
751	868	286
752	869	285
753	870	284
754	871	282
755	872	281
756	873	280
757	874	279
758	875	278
759	876	276
760	877	275
761	878	274
762	879	273
763	880	272
764	881	270
765	882	269
766	883	268
767	884	267
768	885	266
769	887	265
770	888	263
771	889	262
772	890	261
773	891	260
774	892	259
775	893	257
776	894	256
777	895	255
778	896	254
779	897	253
780	898	251
781	899	250
782	900	249
783	901	248
784	902	247
785	903	245
786	904	244
787	905	243
788	905	242
789	907	241
790	908	239
791	909	238
792	910	237
793	911	236
794	912	235
795	913	234
796	914	232
797	915	231
798	916	230
799	917	229
800	918	228
801	919	227
802	920	225
803	921	224
804	922	223
805	923	222
806	924	221
807	925	219
808	926	218
809	927	217
810	928	216
811	929	215
812	930	214
813	931	212
814	932	211
815	933	210
816	934	209
817	936	208
818	937	207
819	937	205
820	938	204
821	939	203
822	940	202
823	942	201
824	943	200
825	944	198
826	945	197
827	946	196
828	947	195
829	949	194
830	950	193
831	951	192
832	952	190
833	953	189
834	954	188
835	955	187
836	956	186
837	958	185
838	959	184
839	960	183
840	962	181
841	963	180
842	965	179
843	966	178
844	967	177
845	968	176
846	969	175
847	970	174
848	971	172
849	973	171
850	974	170
851	975	169
852	976	168
853	977	167
854	978	166
855	980	164
856	982	163
857	983	162
858	984	161
859	985	160
860	986	159
